caso_id,nombre_caso,modulo,subproceso,tipo_prueba,prioridad,estado,severidad_defecto,defecto_id,ambiente,release,tester,fecha_ejecucion,duracion_min,evidencia,automatizado
TC-0027,Validar cargos,Cuentas,Cargos,Integración,Baja,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-07-03,69,Sí,No
TC-0028,Validar internas,Transferencias,Reversos,API,Baja,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-08-17,45,Sí,No
TC-0029,Validar ach,Pagos,ACH,Seguridad,Media,Aprobado,Sin defecto,,SIT,R25,Laura,2026-07-25,19,Sí,Sí
TC-0030,Validar reversos,Préstamos,Reversos,COB/EOD,Crítica,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-01,12,Sí,No
TC-0031,Validar ach,Pagos,LBTR,Seguridad,Media,No ejecutado,Sin defecto,,UAT,R25,José,2026-07-26,0,No,No
TC-0032,Validar ach,Pagos,LBTR,API,Media,Aprobado,Sin defecto,,SIT,R25,Carlos,2026-08-07,49,Sí,Sí
TC-0033,Validar cuotas,Préstamos,Pagos,Integración,Media,No ejecutado,Sin defecto,,UAT,R25,Elena,2026-07-26,0,No,No
TC-0034,Validar pago de servicios,Pagos,Reversos,API,Alta,No ejecutado,Sin defecto,,SIT,R25,Carlos,2026-07-10,0,No,No
TC-0035,Validar emisión,Tarjetas,Consumos,COB/EOD,Media,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-07-13,23,Sí,No
TC-0036,Validar consumos,Tarjetas,Consumos,Seguridad,Baja,No ejecutado,Sin defecto,,UAT,R25,Ana,2026-08-17,0,No,No
TC-0037,Validar creación,Clientes,Bloqueo,API,Alta,No ejecutado,Sin defecto,,UAT,R25,Miguel,2026-07-23,0,No,No
TC-0038,Validar pago de servicios,Pagos,LBTR,Integración,Alta,Bloqueado,Media,DEF-1038,QA,R25,José,2026-07-13,21,Sí,No
TC-0039,Validar bloqueo,Clientes,Creación,Regresión,Media,Bloqueado,Media,DEF-1039,SIT,R25,Miguel,2026-07-05,51,No,No
TC-0040,Validar bloqueo,Tarjetas,Pagos,Regresión,Baja,No ejecutado,Sin defecto,,SIT,R25,Ana,2026-08-09,0,No,Sí
TC-0041,Validar cargos,Cuentas,Mantenimiento,Integración,Media,Aprobado,Sin defecto,,QA,R25,Miguel,2026-07-15,42,Sí,Sí
TC-0042,Validar internas,Transferencias,Límites,Integración,Media,No ejecutado,Sin defecto,,SIT,R25,Elena,2026-08-07,0,No,No
TC-0043,Validar actualización,Clientes,Creación,Funcional,Alta,Fallido,Media,DEF-1043,UAT,R25,Ana,2026-08-12,49,Sí,No
TC-0044,Validar cuotas,Préstamos,Cuotas,Regresión,Media,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-07,5,Sí,Sí
TC-0045,Validar lbtr,Pagos,LBTR,Seguridad,Crítica,Aprobado,Sin defecto,,SIT,R25,Laura,2026-07-09,22,Sí,No
TC-0046,Validar ach,Pagos,ACH,API,Crítica,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-29,65,Sí,No
TC-0047,Validar cuotas,Préstamos,Pagos,COB/EOD,Alta,Fallido,Alta,DEF-1047,QA,R25,Elena,2026-07-29,27,Sí,No
TC-0048,Validar pago de servicios,Pagos,ACH,API,Media,Aprobado,Sin defecto,,QA,R25,Elena,2026-07-09,16,No,Sí
TC-0049,Validar cargos,Cuentas,Mantenimiento,Funcional,Baja,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-16,70,Sí,No
TC-0050,Validar cierre,Cuentas,Cierre,Funcional,Alta,Fallido,Alta,DEF-1050,SIT,R25,Ana,2026-08-07,71,No,No
TC-0051,Validar reversos,Pagos,LBTR,Regresión,Media,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-10,30,Sí,No
TC-0052,Validar reversos,Transferencias,Internas,Funcional,Alta,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-12,9,Sí,No
TC-0053,Validar actualización,Clientes,Creación,API,Baja,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-07-07,15,Sí,No
TC-0054,Validar mantenimiento,Cuentas,Cargos,Integración,Baja,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-23,40,Sí,No
TC-0055,Validar cierre,Cuentas,Cargos,Integración,Media,Fallido,Baja,DEF-1055,UAT,R25,José,2026-07-28,57,Sí,No
TC-0056,Validar creación,Clientes,Debida diligencia,COB/EOD,Alta,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-02,50,Sí,Sí
TC-0057,Validar interbancarias,Transferencias,Internas,API,Media,Fallido,Media,DEF-1006,UAT,R25,Elena,2026-08-13,14,Sí,No
TC-0058,Validar cierre,Cuentas,Cargos,API,Baja,Aprobado,Sin defecto,,SIT,R25,Carlos,2026-07-21,19,Sí,No
TC-0059,Validar reversos,Pagos,Pago de servicios,Regresión,Media,Fallido,Alta,DEF-1059,SIT,R25,Laura,2026-07-24,50,Sí,Sí
TC-0060,Validar cuotas,Préstamos,Desembolso,Funcional,Baja,Fallido,Baja,DEF-1060,SIT,R25,Ana,2026-08-07,37,Sí,No
TC-0061,Validar reversos,Transferencias,Reversos,COB/EOD,Alta,Aprobado,Sin defecto,,QA,R25,Laura,2026-08-12,69,Sí,Sí
TC-0062,Validar debida diligencia,Clientes,Creación,Integración,Media,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-26,70,Sí,No
TC-0063,Validar internas,Transferencias,Internas,Regresión,Baja,Aprobado,Sin defecto,,UAT,R25,Laura,2026-07-06,13,Sí,No
TC-0064,Validar límites,Transferencias,Internas,Funcional,Alta,Aprobado,Sin defecto,,QA,R25,Ana,2026-07-05,68,Sí,No
TC-0065,Validar desembolso,Préstamos,Pagos,Integración,Alta,Aprobado,Sin defecto,,QA,R25,Carlos,2026-07-22,45,Sí,No
TC-0066,Validar ach,Pagos,Reversos,COB/EOD,Alta,Bloqueado,Media,DEF-1038,QA,R25,Ana,2026-07-18,21,No,No
TC-0067,Validar lbtr,Pagos,Pago de servicios,Integración,Alta,Aprobado,Sin defecto,,QA,R25,Miguel,2026-08-15,51,Sí,No
TC-0068,Validar bloqueo,Tarjetas,Consumos,Funcional,Baja,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-07-09,41,No,No
TC-0069,Validar cargos,Cuentas,Cierre,API,Baja,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-07,33,Sí,No
TC-0070,Validar ach,Pagos,LBTR,Regresión,Media,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-29,7,Sí,No
TC-0071,Validar mantenimiento,Cuentas,Apertura,Regresión,Alta,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-08-13,58,Sí,Sí
TC-0072,Validar pagos,Préstamos,Desembolso,Funcional,Alta,Aprobado,Sin defecto,,QA,R25,Carlos,2026-07-02,55,No,No
TC-0073,Validar reversos,Transferencias,Interbancarias,Regresión,Media,Aprobado,Sin defecto,,SIT,R25,Elena,2026-08-16,72,Sí,Sí
TC-0074,Validar apertura,Cuentas,Cierre,Integración,Crítica,Aprobado,Sin defecto,,QA,R25,Carlos,2026-07-22,4,Sí,No
TC-0075,Validar pagos,Tarjetas,Bloqueo,Regresión,Alta,No ejecutado,Sin defecto,,UAT,R25,José,2026-07-05,0,No,No
TC-0076,Validar apertura,Cuentas,Cierre,Seguridad,Alta,Aprobado,Sin defecto,,QA,R25,Miguel,2026-08-09,67,Sí,No
TC-0077,Validar lbtr,Pagos,LBTR,Funcional,Media,Fallido,Alta,DEF-1059,UAT,R25,Ana,2026-08-06,57,Sí,No
TC-0078,Validar interbancarias,Transferencias,Reversos,Integración,Alta,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-03,16,Sí,No
TC-0079,Validar límites,Transferencias,Interbancarias,Funcional,Media,Fallido,Alta,DEF-1003,SIT,R25,Elena,2026-07-12,14,Sí,No
TC-0080,Validar límites,Transferencias,Internas,Seguridad,Crítica,No ejecutado,Sin defecto,,UAT,R25,Ana,2026-07-19,0,No,No
TC-0081,Validar internas,Transferencias,Límites,Regresión,Alta,Aprobado,Sin defecto,,QA,R25,José,2026-07-05,54,Sí,No
TC-0082,Validar reversos,Transferencias,Interbancarias,Integración,Baja,Aprobado,Sin defecto,,SIT,R25,Elena,2026-07-14,20,Sí,No
TC-0083,Validar actualización,Clientes,Debida diligencia,COB/EOD,Alta,Fallido,Baja,DEF-1021,UAT,R25,Carlos,2026-07-19,43,Sí,Sí
TC-0084,Validar pago de servicios,Pagos,ACH,Seguridad,Alta,No ejecutado,Sin defecto,,SIT,R25,Ana,2026-07-22,0,No,Sí
TC-0085,Validar cuotas,Préstamos,Pagos,Regresión,Crítica,Bloqueado,Media,DEF-1085,QA,R25,Laura,2026-07-05,68,Sí,Sí
TC-0086,Validar bloqueo,Clientes,Bloqueo,Regresión,Alta,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-07-23,52,Sí,No
TC-0087,Validar desembolso,Préstamos,Cuotas,Regresión,Alta,No ejecutado,Sin defecto,,UAT,R25,Miguel,2026-07-20,0,No,Sí
TC-0088,Validar pago de servicios,Pagos,LBTR,API,Crítica,Aprobado,Sin defecto,,QA,R25,Laura,2026-08-01,25,Sí,No
TC-0089,Validar creación,Clientes,Actualización,COB/EOD,Alta,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-06,38,Sí,Sí
TC-0090,Validar pagos,Tarjetas,Consumos,Funcional,Media,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-30,8,Sí,Sí
TC-0091,Validar cuotas,Préstamos,Reversos,Seguridad,Crítica,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-07-27,65,Sí,Sí
TC-0092,Validar apertura,Cuentas,Mantenimiento,Seguridad,Media,Aprobado,Sin defecto,,SIT,R25,Elena,2026-08-17,35,No,Sí
TC-0093,Validar cuotas,Préstamos,Cuotas,API,Alta,Bloqueado,Alta,DEF-1093,QA,R25,Carlos,2026-07-22,16,Sí,No
TC-0094,Validar pagos,Préstamos,Reversos,Seguridad,Alta,Aprobado,Sin defecto,,QA,R25,Miguel,2026-07-10,58,Sí,No
TC-0095,Validar consumos,Tarjetas,Pagos,Seguridad,Baja,No ejecutado,Sin defecto,,SIT,R25,Ana,2026-08-07,0,No,No
TC-0096,Validar emisión,Tarjetas,Emisión,Funcional,Crítica,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-07-22,25,Sí,No
TC-0097,Validar consumos,Tarjetas,Pagos,COB/EOD,Media,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-15,18,Sí,No
TC-0098,Validar cierre,Cuentas,Cierre,Seguridad,Baja,No ejecutado,Sin defecto,,UAT,R25,José,2026-07-24,0,No,No
TC-0099,Validar desembolso,Préstamos,Desembolso,Integración,Media,Fallido,Media,DEF-1099,QA,R25,Ana,2026-07-25,67,Sí,No
TC-0100,Validar reversos,Préstamos,Cuotas,COB/EOD,Media,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-20,58,Sí,Sí
TC-0101,Validar reversos,Préstamos,Pagos,Seguridad,Alta,Aprobado,Sin defecto,,SIT,R25,José,2026-08-16,13,Sí,No
TC-0102,Validar apertura,Cuentas,Cierre,COB/EOD,Media,No ejecutado,Sin defecto,,QA,R25,Laura,2026-07-23,0,No,Sí
TC-0103,Validar desembolso,Préstamos,Pagos,Integración,Baja,Aprobado,Sin defecto,,QA,R25,José,2026-07-01,11,Sí,No
TC-0104,Validar cierre,Cuentas,Cierre,API,Media,Fallido,Baja,DEF-1055,QA,R25,José,2026-07-20,50,Sí,No
TC-0105,Validar actualización,Clientes,Creación,COB/EOD,Media,No ejecutado,Sin defecto,,SIT,R25,Carlos,2026-07-22,0,No,No
TC-0106,Validar pagos,Tarjetas,Emisión,Regresión,Media,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-07-09,65,Sí,Sí
TC-0107,Validar cargos,Cuentas,Cierre,Funcional,Crítica,Aprobado,Sin defecto,,QA,R25,Ana,2026-07-09,50,Sí,Sí
TC-0108,Validar actualización,Clientes,Debida diligencia,COB/EOD,Baja,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-07-15,12,Sí,Sí
TC-0109,Validar desembolso,Préstamos,Reversos,API,Media,Bloqueado,Alta,DEF-1093,QA,R25,Ana,2026-08-09,27,Sí,Sí
TC-0110,Validar pagos,Tarjetas,Emisión,API,Baja,Aprobado,Sin defecto,,UAT,R25,José,2026-07-03,63,No,No
TC-0111,Validar emisión,Tarjetas,Consumos,COB/EOD,Media,Aprobado,Sin defecto,,UAT,R25,Laura,2026-07-01,42,Sí,Sí
TC-0112,Validar internas,Transferencias,Límites,API,Alta,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-08-06,39,No,No
TC-0113,Validar internas,Transferencias,Interbancarias,Seguridad,Media,Bloqueado,Alta,DEF-1025,SIT,R25,Laura,2026-07-13,32,Sí,Sí
TC-0114,Validar emisión,Tarjetas,Emisión,Integración,Alta,Aprobado,Sin defecto,,SIT,R25,Laura,2026-07-18,12,Sí,Sí
TC-0115,Validar apertura,Cuentas,Cierre,Regresión,Alta,Aprobado,Sin defecto,,SIT,R25,Elena,2026-08-02,65,No,Sí
TC-0116,Validar interbancarias,Transferencias,Interbancarias,COB/EOD,Media,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-03,68,Sí,No
TC-0117,Validar consumos,Tarjetas,Emisión,API,Alta,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-14,51,Sí,No
TC-0118,Validar consumos,Tarjetas,Pagos,Integración,Media,Aprobado,Sin defecto,,SIT,R25,Elena,2026-07-22,75,Sí,Sí
TC-0119,Validar límites,Transferencias,Reversos,Funcional,Baja,No ejecutado,Sin defecto,,QA,R25,Miguel,2026-07-28,0,No,No
TC-0120,Validar reversos,Préstamos,Reversos,Funcional,Alta,Aprobado,Sin defecto,,SIT,R25,Ana,2026-07-29,38,Sí,Sí
TC-0121,Validar actualización,Clientes,Debida diligencia,Integración,Crítica,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-08-13,5,Sí,No
TC-0122,Validar reversos,Pagos,Pago de servicios,Seguridad,Alta,No ejecutado,Sin defecto,,UAT,R25,Ana,2026-07-10,0,No,No
TC-0123,Validar pago de servicios,Pagos,LBTR,Integración,Baja,Aprobado,Sin defecto,,UAT,R25,Laura,2026-07-17,72,Sí,Sí
TC-0124,Validar mantenimiento,Cuentas,Mantenimiento,Integración,Media,No ejecutado,Sin defecto,,QA,R25,Elena,2026-08-10,0,No,No
TC-0125,Validar pagos,Préstamos,Desembolso,Integración,Baja,Aprobado,Sin defecto,,SIT,R25,Ana,2026-07-31,17,Sí,Sí
TC-0126,Validar pago de servicios,Pagos,Pago de servicios,Funcional,Media,No ejecutado,Sin defecto,,SIT,R25,José,2026-07-20,0,No,No
TC-0127,Validar interbancarias,Transferencias,Límites,Integración,Alta,Bloqueado,Alta,DEF-1025,UAT,R25,Laura,2026-08-04,45,Sí,Sí
TC-0128,Validar pago de servicios,Pagos,Reversos,COB/EOD,Alta,Aprobado,Sin defecto,,QA,R25,Ana,2026-07-14,49,Sí,Sí
TC-0129,Validar reversos,Pagos,Pago de servicios,API,Alta,Fallido,Media,DEF-1129,UAT,R25,José,2026-08-05,26,Sí,Sí
TC-0130,Validar debida diligencia,Clientes,Bloqueo,Seguridad,Media,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-02,29,Sí,Sí
TC-0131,Validar pagos,Tarjetas,Bloqueo,Integración,Media,No ejecutado,Sin defecto,,UAT,R25,Laura,2026-08-13,0,No,No
TC-0132,Validar bloqueo,Tarjetas,Consumos,COB/EOD,Media,Aprobado,Sin defecto,,SIT,R25,Laura,2026-07-28,31,Sí,No
TC-0133,Validar cargos,Cuentas,Apertura,COB/EOD,Baja,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-07-04,54,Sí,Sí
TC-0134,Validar reversos,Transferencias,Reversos,Funcional,Media,Aprobado,Sin defecto,,SIT,R25,Laura,2026-07-28,12,Sí,No
TC-0135,Validar cargos,Cuentas,Cargos,Funcional,Alta,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-08-01,70,Sí,No
TC-0136,Validar apertura,Cuentas,Apertura,Integración,Media,Aprobado,Sin defecto,,SIT,R25,Laura,2026-07-20,74,Sí,Sí
TC-0137,Validar límites,Transferencias,Internas,Integración,Alta,Aprobado,Sin defecto,,QA,R25,Carlos,2026-07-21,35,Sí,Sí
TC-0138,Validar reversos,Pagos,LBTR,Integración,Alta,No ejecutado,Sin defecto,,QA,R25,Carlos,2026-07-11,0,No,No
TC-0139,Validar pagos,Préstamos,Pagos,Funcional,Alta,Fallido,Alta,DEF-1047,UAT,R25,José,2026-07-19,9,Sí,No
TC-0140,Validar desembolso,Préstamos,Desembolso,Integración,Baja,Bloqueado,Alta,DEF-1093,SIT,R25,Elena,2026-08-01,16,Sí,Sí
TC-0141,Validar reversos,Transferencias,Reversos,COB/EOD,Alta,Aprobado,Sin defecto,,UAT,R25,José,2026-07-15,37,Sí,No
TC-0142,Validar pagos,Préstamos,Cuotas,Seguridad,Media,Fallido,Media,DEF-1099,QA,R25,Laura,2026-08-06,25,Sí,Sí
TC-0143,Validar internas,Transferencias,Límites,Regresión,Alta,Bloqueado,Alta,DEF-1143,UAT,R25,Elena,2026-07-14,18,Sí,Sí
TC-0144,Validar bloqueo,Tarjetas,Bloqueo,Integración,Crítica,Aprobado,Sin defecto,,QA,R25,José,2026-07-28,40,Sí,Sí
TC-0145,Validar internas,Transferencias,Interbancarias,API,Alta,Fallido,Alta,DEF-1003,SIT,R25,Carlos,2026-07-01,31,Sí,No
TC-0146,Validar bloqueo,Tarjetas,Bloqueo,Seguridad,Alta,Aprobado,Sin defecto,,SIT,R25,José,2026-07-18,12,Sí,Sí
TC-0147,Validar bloqueo,Clientes,Debida diligencia,Integración,Alta,Aprobado,Sin defecto,,QA,R25,Elena,2026-07-24,27,No,No
TC-0148,Validar cargos,Cuentas,Cargos,Funcional,Alta,Bloqueado,Alta,DEF-1148,UAT,R25,Laura,2026-08-16,23,Sí,No
TC-0149,Validar creación,Clientes,Debida diligencia,Regresión,Crítica,No ejecutado,Sin defecto,,UAT,R25,José,2026-08-04,0,No,Sí
TC-0150,Validar internas,Transferencias,Reversos,API,Alta,Aprobado,Sin defecto,,SIT,R25,José,2026-07-30,65,Sí,Sí
TC-0151,Validar bloqueo,Tarjetas,Pagos,COB/EOD,Alta,Aprobado,Sin defecto,,SIT,R25,Elena,2026-08-04,10,Sí,No
TC-0152,Validar bloqueo,Clientes,Actualización,Regresión,Baja,Aprobado,Sin defecto,,UAT,R25,José,2026-08-14,61,No,Sí
TC-0153,Validar consumos,Tarjetas,Consumos,API,Alta,No ejecutado,Sin defecto,,SIT,R25,Laura,2026-07-30,0,No,No
TC-0154,Validar creación,Clientes,Creación,Seguridad,Media,No ejecutado,Sin defecto,,UAT,R25,Elena,2026-07-08,0,No,Sí
TC-0155,Validar apertura,Cuentas,Cierre,Seguridad,Crítica,Aprobado,Sin defecto,,SIT,R25,José,2026-07-24,67,Sí,No
TC-0156,Validar reversos,Transferencias,Límites,Seguridad,Alta,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-12,74,Sí,No
TC-0157,Validar pago de servicios,Pagos,Reversos,API,Baja,Fallido,Alta,DEF-1059,UAT,R25,Miguel,2026-07-02,61,Sí,No
TC-0158,Validar reversos,Transferencias,Interbancarias,Integración,Media,Aprobado,Sin defecto,,QA,R25,Carlos,2026-08-12,28,Sí,No
TC-0159,Validar creación,Clientes,Actualización,COB/EOD,Alta,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-16,28,Sí,No
TC-0160,Validar límites,Transferencias,Internas,Seguridad,Baja,No ejecutado,Sin defecto,,UAT,R25,Ana,2026-07-01,0,No,No
TC-0161,Validar límites,Transferencias,Interbancarias,Regresión,Alta,Aprobado,Sin defecto,,SIT,R25,Carlos,2026-08-07,38,Sí,No
TC-0162,Validar bloqueo,Tarjetas,Consumos,Regresión,Media,Aprobado,Sin defecto,,SIT,R25,Carlos,2026-07-07,28,Sí,No
TC-0163,Validar debida diligencia,Clientes,Debida diligencia,COB/EOD,Alta,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-16,63,Sí,No
TC-0164,Validar actualización,Clientes,Bloqueo,Funcional,Media,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-11,14,Sí,No
TC-0165,Validar debida diligencia,Clientes,Creación,API,Media,Bloqueado,Media,DEF-1039,SIT,R25,Carlos,2026-08-09,46,Sí,No
TC-0166,Validar reversos,Préstamos,Cuotas,Integración,Media,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-09,62,Sí,No
TC-0167,Validar consumos,Tarjetas,Pagos,API,Media,Aprobado,Sin defecto,,UAT,R25,Ana,2026-08-15,26,Sí,Sí
TC-0168,Validar creación,Clientes,Actualización,API,Media,Fallido,Media,DEF-1043,QA,R25,Laura,2026-07-01,41,Sí,Sí
TC-0169,Validar apertura,Cuentas,Apertura,Regresión,Baja,Aprobado,Sin defecto,,QA,R25,Ana,2026-07-27,62,Sí,Sí
TC-0170,Validar internas,Transferencias,Límites,Regresión,Alta,Aprobado,Sin defecto,,UAT,R25,Laura,2026-07-04,43,Sí,No
TC-0171,Validar cuotas,Préstamos,Desembolso,COB/EOD,Baja,Aprobado,Sin defecto,,UAT,R25,Laura,2026-07-09,9,Sí,No
TC-0172,Validar cuotas,Préstamos,Desembolso,API,Alta,Aprobado,Sin defecto,,UAT,R25,Laura,2026-07-31,49,Sí,No
TC-0173,Validar internas,Transferencias,Reversos,Regresión,Alta,Aprobado,Sin defecto,,UAT,R25,Laura,2026-07-21,41,Sí,Sí
TC-0174,Validar reversos,Préstamos,Cuotas,COB/EOD,Alta,Aprobado,Sin defecto,,SIT,R25,Laura,2026-07-01,53,Sí,No
TC-0175,Validar creación,Clientes,Actualización,Funcional,Crítica,Bloqueado,Media,DEF-1039,QA,R25,José,2026-07-11,60,Sí,No
TC-0176,Validar creación,Clientes,Actualización,Integración,Crítica,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-08-16,42,Sí,Sí
TC-0177,Validar bloqueo,Clientes,Actualización,API,Media,Aprobado,Sin defecto,,UAT,R25,José,2026-07-03,26,Sí,Sí
TC-0178,Validar cierre,Cuentas,Apertura,Integración,Media,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-30,13,Sí,No
TC-0179,Validar reversos,Préstamos,Reversos,API,Alta,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-07-18,36,Sí,Sí
TC-0180,Validar pago de servicios,Pagos,LBTR,Seguridad,Crítica,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-08-07,53,Sí,No
TC-0181,Validar interbancarias,Transferencias,Reversos,Integración,Media,No ejecutado,Sin defecto,,QA,R25,Miguel,2026-07-28,0,No,Sí
TC-0182,Validar internas,Transferencias,Límites,Regresión,Alta,Aprobado,Sin defecto,,SIT,R25,Elena,2026-07-11,54,Sí,No
TC-0183,Validar interbancarias,Transferencias,Límites,API,Baja,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-06,67,Sí,No
TC-0184,Validar consumos,Tarjetas,Bloqueo,COB/EOD,Media,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-08-16,68,Sí,Sí
TC-0185,Validar límites,Transferencias,Interbancarias,COB/EOD,Alta,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-07-21,68,Sí,No
TC-0186,Validar reversos,Pagos,Pago de servicios,Regresión,Alta,Fallido,Alta,DEF-1186,SIT,R25,José,2026-07-31,68,Sí,Sí
TC-0187,Validar creación,Clientes,Actualización,Integración,Media,Aprobado,Sin defecto,,QA,R25,Ana,2026-08-08,20,Sí,No
